FIRM_ID,FIRM_NAME,SEARCH_TERM
104853,BOSTON MANAGEMENT AND RESEARCH,:801-43127
104855,SALEM INVESTMENT COUNSELORS INC,:801-14487
104859,EATON VANCE MANAGEMENT,:801-15930
104862,"STRATEGIC INVESTMENT MANAGEMENT, LLC",:801-31849
104870,HGK ASSET MANAGEMENT INC,:801-19314
104885,INVESCO INVESTMENT ADVISERS LLC,:801-1669
104931,EVERGREEN CAPITAL MANAGEMENT LLC,:801-20248
104946,CINCINNATI ASSET MANAGEMENT INC,:801-34376
104948,HIGHLAND ASSOCIATES INC,:801-30248
104949,"GABELLI FUNDS, LLC",:801-37706
104950,GAMCO ASSET MANAGEMENT INC.,:801-14132
104960,BURNHAM ASSET MANAGEMENT CORP,:801-8293
104963,"ANALYTIC INVESTORS, LLC",:801-7082
104983,OPPENHEIMERFUNDS INC,:801-8253
105007,"VONTOBEL ASSET MANAGEMENT, INC.",:801-21953
105028,PERKINS CAPITAL MANAGEMENT INC,:801-22888
105033,GARDNER LEWIS ASSET MANAGEMENT LP,:801-36476
105053,LAWSON KROEKER INVESTMENT MANAGEMENT INC,:801-27034
105080,VAN ECK ASSOCIATES CORP.,:801-21340
105081,"PENN CAPITAL MANAGEMENT COMPANY, LLC",:801-31452
105083,YORKTOWN MANAGEMENT AND RESEARCH CO INC,:801-23441
105086,ARISTON CAPITAL MANAGEMENT CORP,:801-13209
105088,"WEITZ INVESTMENT MANAGEMENT, INC.",:801-18819
105091,MCCORMICK CAPITAL MANAGEMENT,:801-27092
105130,"L. ROY PAPP & ASSOCIATES, LLP",:801-35594
105138,FEDERATED INVESTMENT MANAGEMENT COMPANY,:801-34612
105142,"LOWE, BROCKENBROUGH & COMPANY, INC.",:801-6691
105146,SEI INVESTMENTS MANAGEMENT CORP,:801-24593
105159,"ST. DENIS J. VILLERE & CO., LLC",:801-702
105161,"CONGRESS ASSET MANAGEMENT COMPANY, LLP",:801-23386
105163,WILMINGTON FUNDS MANAGEMENT CORPORATION,:801-22071
105169,PACIFIC LIFE FUND ADVISORS LLC,:801-15057
105176,"SENTRY INVESTMENT MANAGEMENT, L.L.C.",:801-7942
105179,"D.F. DENT AND COMPANY, INC.",:801-11364
105182,"OPTIMUM INVESTMENT ADVISORS, LLC",:801-35773
105201,PANAGORA ASSET MANAGEMENT INC,:801-35497
105203,"THE PACIFIC FINANCIAL GROUP, INC.",:801-18151
105205,PICTET ASSET MANAGEMENT LIMITED,:801-15143
105215,"BTS ASSET MANAGEMENT, INC.",:801-14895
105237,CONCORDE INVESTMENT MANAGEMENT,:801-16625
